Cleared/Open Items Symbol,Account,Reference,Trading partner,Document Number,Document type,Assignment,Business Area,Credit control area,Document Date,Posting Date,Special G/L Ind.,Net Due Date Symbol,Amount in Local Currency,Local Currency,Clearing Document,Text
,1018504,8126740,,1200050332,F1,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,-1416.72,USD,,
,1018504,8126743,,1200050335,F1,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,-582.7,USD,,
,1018504,8126746,,1200050338,F1,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,-2430.37,USD,,
,1018504,8126756,,1200050348,F1,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,-483.46,USD,,
,1018504,8126764,,1200050356,F1,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,-485.1,USD,,
,1018504,8126765,,1200050357,F1,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,-687.75,USD,,
,1018504,8126770,,1200050362,F1,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,-575.14,USD,,
,1018504,8126772,,1200050364,F1,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,-977.6,USD,,
,1018504,8126776,,1200050368,F1,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,-1085.75,USD,,
,1018504,8126780,,1200050372,F1,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,-68.95,USD,,
,1018504,8126794,,1200050387,F1,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,-1167.4,USD,,
,1018504,8126798,,1200050391,F1,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,-190.6,USD,,
,1018504,8126800,,1200050393,F1,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,-271.36,USD,,
,1018504,8126819,,1200050412,F1,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,-856.4,USD,,
,1018504,8126829,,1200050422,F1,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,-832.47,USD,,
,1018504,8126842,,1200050435,F1,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,-1585.85,USD,,
,1018504,8126849,,1200050442,F1,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,-1905.68,USD,,
,1018504,8126850,,1200050443,F1,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,-180.41,USD,,
,1018504,8126852,,1200050445,F1,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,-807.5,USD,,
,1018504,8126853,,1200050446,F1,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,-605.41,USD,,
,1018504,8126855,,1200050448,F1,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,-839.47,USD,,
,1018504,8126856,,1200050449,F1,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,-329.37,USD,,
,1018504,8126876,,1200050470,F1,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,-862.57,USD,,
,1018504,8126884,,1200050479,F1,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,-2124.09,USD,,
,1018504,8126889,,1200050484,F1,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,-697.01,USD,,
,1018504,8126893,,1200050488,F1,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,-2585.7,USD,,
,1018504,9019716,,1200050863,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,9.85,USD,,
,1018504,9019717,,1200050864,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,39.55,USD,,
,1018504,9019718,,1200050865,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,9.85,USD,,
,1018504,9019719,,1200050866,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,24.75,USD,,
,1018504,9019720,,1200050867,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,39.4,USD,,
,1018504,9019721,,1200050868,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,24.75,USD,,
,1018504,9019722,,1200050869,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,158.27,USD,,
,1018504,9019723,,1200050870,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,49.05,USD,,
,1018504,9019724,,1200050871,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,19.7,USD,,
,1018504,9019725,,1200050872,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,39.4,USD,,
,1018504,9019726,,1200050873,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,24.75,USD,,
,1018504,9019727,,1200050874,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,0.25,USD,,
,1018504,9019728,,1200050875,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,84.3,USD,,
,1018504,9019729,,1200050876,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,12,USD,,
,1018504,9019730,,1200050877,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,141.18,USD,,
,1018504,9019731,,1200050878,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,19.5,USD,,
,1018504,9019732,,1200050879,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,149.46,USD,,
